"citationId:ID","presentationNumber","sessionType","title","authorCount:int","startPage:int","backgroundSnippet","conclusionSnippet","hasFigures:boolean",":LABEL"
"jjaf231.011","OP11","Oral Presentation","Multi-omics Analysis Reveals Polyamine-Driven Fibroblast Dysfunction in Perianal Fistulizing Crohn’s Disease","5","34","Perianal fistulizing Crohn’s disease (PFCD) represents a distinct, inflammation driven subtype of perianal fistula that differs fundamentally 
from idiopathic perianal fistula (IPF), which typically arises from cryptoglandular infection and follows a predominantly infectious and mechanical 
pathogenesis. PFCD is characterized by chronic inflammation, complex fistula tracts, and poor healing despite combined surgical and medical therapy. 
In contrast, IPF often responds well to drainage and local","Our study provides a comprehensive molecular and cellular landscape of PFCD, highlighting its distinct immune and stromal microen­
vironment compared to idiopathic perianal fistulas and non-fistulous controls. Local polyamine accumulation may contribute to defective fibroblast 
function and impaired tissue repair, highlighting a potential metabolic target to promote fistula healing in PFCD.","true","Abstract"
"jjaf231.012","OP12","Oral Presentation","Predictors of response to anti-TNF treatment in Inflammatory Bowel Disease: A registry-based approach","6","37","In patients with IBD treated with an anti-TNF (tumour necrosis factor) drug like infliximab or adalimumab, between 13-40% of patients 
experience primary non-response (PNR) and around 50% of patients experience an eventual secondary loss of response (LOR).1 None of the bio­
markers previously presented have been sufficiently predictive of treatment outcome for clinical use,2 and only few genetic associations remain sig­
nificant following meta-analysis.3 As many previous studies have been limite","In this study, we present a large-scale, registry-based approach to determining associations with anti-TNF treatment outcomes in patients 
with IBD, including over 14,000 patients in a population-based cohort. We were able to analyse far more patients than what is possible in clinical 
studies, confirming numerous previously reported associations, presenting novel biochemical and genetic associations, and showing findings in support 
of the recent shift from a bottom-up to a top-down approach in","true","Abstract"
"jjaf231.013","OP13","Oral Presentation","Biomarker-informed therapy guidance improved clinical outcomes of anti-tumour necrosis factor treatment in patients with inflammatory bowel disease in a multi-centre, randomized, controlled, open-label, prospective clinical trial (GUIDE-IBD)","11","40","Anti-Tumour Necrosis Factor (TNF) therapies are a cornerstone in the treatment of inflammatory bowel disease (IBD), yet therapy 
responses vary widely among patients. Despite extensive biomarker discovery efforts, the clinical utility of defined molecular marker sets remains 
largely unexplored. The GUIDE-IBD trial was designed to assess the efficacy of biomarker-informed therapy decisions by comparing guidance through 
a molecular therapy board to standard medical care in active IBD patients in","Biomarker-informed guidance significantly improved therapy outcomes, with a higher proportion of patients achieving CDC compared 
to standard “best care” in the context of anti-TNF therapy. These findings support the integration of molecular medicine approaches in therapy 
boards to optimize treatment strategies in IBD.","true","Abstract"
"jjaf231.014","OP14","Oral Presentation","Risk of Inflammatory Bowel Disease Following Hospital-Treated Infections and Modulatory Role of Host Genetics to support a multi-hit pathogenesis model","12","43","As pervasive immune stressors, infectious diseases can disrupt immune homeostasis and predispose to chronic immune-mediated dis­
orders1. However, the relationship between infections and inflammatory bowel disease (IBD) remains unclear2. To elucidate the contribution of 
infections to IBD pathogenesis, we evaluated their association with subsequent IBD risk and examined the modifying effects of immune-related genetic 
variants.","Hospital-treated infections were strongly associated with incident IBD and were modulated by immune-related genetic variation, with 
44 SNPs showing significant modifying effects. The IIS provided consistent risk stratification for infection-related IBD. These findings support a 
multi-hit model of IBD, linking infections with immune-genetic susceptibility, and highlight the potential of IIS for infection-based risk prediction.","true","Abstract"
"jjaf231.015","OP15","Oral Presentation","Faecal microbiota transplantation for active Crohn’s disease: The MIRO (Microbial Restoration) ran­ domised placebo-controlled trial.","12","47","The enteric microbiota is the antigenic drive in Crohn’s disease, making microbial manipulation with faecal microbiota transplantation 
(FMT) a therapeutic option. However there are no data supporting its use in active Crohn’s disease.","Faecal microbiota transplantation (FMT) for active Crohn’s disease was therapeutically more effective than placebo. Endoscopic response, 
a more objective parameter, significantly improved only with FMT therapy. There was a profound variation in donor therapeutic potency. The final 
lack of CDAI significance likely related to the large diet and antibiotics effect pre randomisation, and donor variation effect. FMT for Crohn’s disease 
has a promising therapeutic role.","true","Abstract"
"jjaf231.016","OP16","Oral Presentation","Serious infection in Inflammatory Bowel Diseases patients treated with vedolizumab, ustekinumab, JAK inhibitors, anti-TNF or aminosalicylates A. Bertrand, A. Amiot, A. Martin, F. Carbonnel, A. Meyer Université Paris-Saclay & Assistance Publique-Hôpitaux de Paris- Hôpital Bicêtre, Department of Gastroenterology, Le Kremlin Bicêtre, France","0","49","JAK inhibitors and biologics are increasingly used to treat inflammatory bowel diseases (IBD). Serious infections are among the most 
important adverse events. Randomized trials are underpowered to detect relatively rare outcomes. We aimed to compare the risk of serious infections 
across IBD therapies in real-world practice.","In this nationwide study, JAK inhibitors carried the highest risk of serious infection, ustekinumab the lowest, and anti-TNF and vedol­
izumab an intermediate risk. These findings may guide therapeutic choices in IBD patients at high risk of infection.","false","Abstract"
"jjaf231.017","OP17","Oral Presentation","The Tasty&Healthy whole food diet improves calprotectin in high risk first-degree relatives of patients with Crohn’s disease (FDRs): The PIONIR randomized controlled prevention cross-over trial","10","50","With the increasing prevalence of IBD, it becomes vital to explore measures of prevention in individuals at risk. The aim of the PIONIR 
(Preventing IBD ONset in Individuals at Risk) RCT was to explore the effectiveness of the Tasty&Healthy (T&H) whole food diet in improving 
biomarkers associated with risk of Crohn’s disease (CD) in high-risk FDRs.","This is the first RCTs that suggests improvement in biomarkers in healthy high-risk FDRs in the Potential Pre-CD stage. T&H diet led 
to a rapid and significant reduction in intestinal inflammation as reflected by FC compared with habitual diet. Larger trials are needed to evaluate 
the long-term effect of T&H diet in preventing CD.","true","Abstract"
"jjaf231.018","OP18","Oral Presentation","The UNITI Jr Study: Safety and efficacy results of ustekinumab in paediatric patients with Crohn’s Disease","11","52","Ustekinumab therapy induced and maintained response and remission in adult patients with moderate-to-severe Crohn’s disease (CD) 
in the IM-UNITI program.1,2 The UNITI Jr study (NCT04673357) evaluated efficacy and safety of ustekinumab in paediatric participants with 
moderately-to-severely-active CD.","Ustekinumab was well-tolerated with no new safety signals. Induction and maintenance therapy with ustekinumab is effective in treating 
moderate-to-severe paediatric CD.","true","Abstract"
"jjaf231.019","OP19","Oral Presentation","Who benefits from endotherapy in Crohn’s disease strictures? Predictors of recurrence, need for rein­ tervention, and surgery from the Balloon Dilation versus Endoscopic Stricturotomy for Crohn’s Disease (BEST-CD) randomised controlled trial (NCT05521867)","5","54","Endoscopic balloon dilation (EBD) is widely used for Crohn’s disease (CD) strictures but has high recurrence and reintervention rates. 
Endoscopic stricturotomy (ES) is a promising alternative, yet predictors of long-term outcomes remain unclear. Identifying patients who benefit most 
from ES is essential for personalised management.","This first randomised trial to evaluate predictors of outcomes after endotherapy for CD strictures shows that ES provides longer relief 
from recurrence/reintervention compared with EBD. However, the ultimate need for surgery is determined more by age, stricture length, and ana­
tomical location than by treatment type. These findings support ES as the preferred first-line endoscopic therapy in selected patients, while highlighting 
key predictors for risk-stratified management","true","Abstract"
"jjaf231.020","OP20","Oral Presentation","Results from the STENOVA trial: A Phase 2a, randomized, placebo-controlled, double-blind study to assess the safety, pharmacokinetics (PK), and pharmacodynamics of ontunisertib (AGMB-129) in patients with Fibrostenotic Crohn’s Disease (FSCD)","12","56","Ontunisertib is an oral GI-restricted ALK5 inhibitor, developed for the treatment of FSCD, which potently blocks signalling of the key 
pro-fibrotic TGFβ pathway. To date, development of systemic ALK5 inhibitors has been hampered by systemic, particularly cardiac, toxicities. 
Ontunisertib was designed to have high local GI exposure while avoiding clinically relevant systemic exposure through high first-pass liver metabolism. 
STENOVA is the first randomized, placebo-controlled clinical trial co","Treatment with ontunisertib for 12 weeks was generally well tolerated at both doses. The GI-restricted profile of ontunisertib was con­
firmed. A trend of improvements in endoscopic and MRE outcomes was observed. The data suggest that ontunisertib has potential to be the first 
ALK5 inhibitor suitable for chronic dosing in humans and may provide a therapeutic option for FSCD patients.","true","Abstract"
"jjaf231.021","OP21","Oral Presentation","Evolving risk of colorectal neoplasia in IBD in the biologic era: analysis of the I-CARE European observa­ tional prospective cohort.","11","58","The risk of colorectal neoplasia (CRN) in inflammatory bowel disease (IBD) is slowly declining, but it is unclear whether this is attrib­
utable to benefits of colonoscopy surveillance and/or to the effect of IBD drugs. This is the first cohort addressing these questions by stratification of 
patients according to the risk level of CRN and adjustment for all CRN risk factors and IBD drugs.","In the biologic era, patients at higher risk of CRN still have a tripled risk of CRC. In the I-CARE cohort, we showed a chemopreventive 
effect of anti-TNFs against CRN in CD. No protective effect was observed for other IBD treatments, including thiopurines and aminosalicylates. The 
effect of methotrexate and vedolizumab on CRN must be further explored.","true","Abstract"
"jjaf231.022","OP22","Oral Presentation","Integrating the environmental and genetic architectures of incident IBD: comprehensive exposome-wide and genetic analyses","5","61","The rising global incidence of Inflammatory Bowel Disease (IBD), encompassing Crohn’s disease (CD) and ulcerative colitis (UC), 
highlights the etiological role of environmental factors. A comprehensive understanding of these drivers remains elusive. This study utilizes the expo­
some framework to investigate the potential environmental drivers of IBD.","This study provides the most comprehensive exposome atlas of IBD to date. We identified a complex web of envoronmental factors 
contributing to IBD risk. Furthermore, we deconstructed IBD heterogeneity into distinct biological mechanisms defined by specific genetic and internal 
exposure profiles. These findings provide an evidence base for prevention strategies and future validations. The novel AI-powered knowledge platform 
offers a dynamic resource to accelerate future research and clinical i","false","Abstract"
"jjaf231.023","OP23","Oral Presentation","PLA2G2D+ and SPP1+ macrophages tailor lymphoid and granuloma niche architecture in Inflammatory Bowel Disease","9","62","Intestinal macrophages display remarkable plasticity1, yet the mechanisms driving their tissue specialization and response to inflammation 
remain poorly understood. Among the diverse macrophages, a PLA2G2D+ macrophage population has been described in mice, where it promotes 
immunoregulation through anti-inflammatory lipid mediators2.","We demonstrate that PLA2G2D+ cells are a distinct macrophage population, driven by lymphoid tissue-promoting signals that may play 
a role in maintaining tolerance in gut-associated tissues. Importantly, PLA2G2D+ macrophages persist in IBD and are associated with tertiary lym­
phoid structures, including ILFs, and CD-GAs in a role that remains only partially understood. SPP1+ macrophages represent an independent subset 
polarized in GAs through IL-1β/hypoxia-driven pathways.","true","Abstract"
"jjaf231.024","OP24","Oral Presentation","Spatial fibroblast niches shaping Crohn’s fistula pathogenesis","10","65","Crohn’s disease (CD) leads to fistula formation in about 40% of patients due to persistent transmural inflammation. Despite advanced 
therapies, recurrence remains frequent and the molecular mechanisms remain poorly defined, partly because intact tracts are difficult to profile and 
highly heterogeneous. We integrated multi-modal spatial transcriptomics, single-cell profiling and matrix imaging to define the cellular and molecular 
architecture of intestinal fistulae.","This study defines fistula-associated stromal and immune states as key mediators of invasion, immune crosstalk and fibrotic remodelling. 
Aberrant developmental transcriptional programmes in FAS cells lead to abnormal zonation of growth factors and morphogens, reshaping collagen 
architecture and sustaining fistula persistence over normal healing. These findings provide new mechanistic insights into fistula biology and information 
to guide model design and preventatives.","false","Abstract"
"jjaf231.025","OP25","Oral Presentation","NLRC4-inflammasome mediated Caspase-1 activity is a novel driver of fibrogenesis in stricturing Crohn’s disease","11","67","During Crohn’s disease (CD), an impaired gut barrier provides an escape route for microbe-associated molecular patterns (MAMPs), 
like flagellin (FLA), leading to selective activation of human intestinal myofibroblasts (HIMF) producing a fibrotic extracellular matrix (ECM) [1]. 
This leads to increased exposure of FLA with intestinal immune and non-immune cells via NLRC4 inflammasome complex, leading to intestinal 
inflammation. However, inflammasome expression in primary HIMFs has not been prev","Bacterial flagellin (FLA/Needle-tox)–mediated NLRC4 inflammasome activation drives intestinal fibrosis through Caspase-1–dependent 
pathways. Targeting Caspase-1 alleviates intestinal fibrosis in vivo, highlighting a novel therapeutic avenue for stricturing Crohn’s disease.","false","Abstract"
"jjaf231.026","OP26","Oral Presentation","Spatial Characterization of Isolated lymphoid follicles and Granulomas in Inflammatory Bowel Disease","9","69","Isolated lymphoid follicles (ILFs) are organized immune aggregates normally present in the gut. ILFs expand into the submucosa and 
muscularis propria in inflammatory bowel disease (IBD), including both ulcerative colitis (UC) and Crohn’s disease (CD), potentially sustaining B- and 
T-cell responses against intestinal antigens. In contrast, granulomas (GAs) are compact macrophage-rich lesions found in CD, but not UC, and whose 
pathogenesis and role in disease remain unclear. 1,2,3 To understand","Together, our spatial analysis of ILF- and GA-like regions in IBD reveals distinct cellular ecosystems defined by macrophage subsets and 
fibroblast populations that likely orchestrate immune activation, tissue remodeling, and granuloma formation. Building on these shifts, we hypothesize 
that GAs may emerge from dysregulated ILFs, as suggested by the progressive reorganization of interactions and cell populations from healthy ILFs 
to IBD-associated ILFs and ultimately to GA.","true","Abstract"
"jjaf231.027","OP27","Oral Presentation","Integrative single-cell, spatial, and clinical analysis supports JAK1 inhibition as a compelling therapeutic strategy in perianal Crohn’s disease","10","71","Perianal Crohn’s disease (pCD) is an aggressive IBD phenotype characterised by fistula formation. Anti-TNF agents are the gold standard 
therapy; however janus kinase (JAK) inhibitors, particularly the JAK1 inhibitor upadacitinib, have emerged as promising alternatives.1 We present: 
1) the transcriptomic impact of upadacitinib on perianal fistula immune cells; 2) the spatial distribution of activated JAK1 in fistula; and 3) a case 
series demonstrating promising results of upadacitinib in pCD p","Our data highlight interferon-driven, JAK-STAT–mediated immune activation in pCD. Upadacitinib suppressed these pathways at 
single-cell resolution, with IHC validating activated JAK1 within fistulae, and our case series suggesting real-world benefit. Together, these findings 
support JAK1 inhibition as a promising strategy in pCD, warranting further clinical evaluation.","true","Abstract"
"jjaf231.028","OP28","Oral Presentation","ECCO Young Researcher Award - Improving IBD patient outcomes through clinical trial innovations","1","74","Randomised controlled trials have been pivotal in generating an evidence-base to support clinical practice, healthcare policy and clinical 
guidelines. Despite the importance of trials and the undoubted improvements in patient care over the intervening decades, it is clear that there are 
now multiple problems with the current clinical trial enterprise in IBD. With a demand from patients, clinicians and other key stakeholders for faster 
answers to the most pressing clinical questions. Key chall","Despite their importance, clinical trials in IBD face many challenges to overcome. Adaptive and platform trial approaches, adoption of 
Bayesian methods and increased incorporation of biomarkers within clinical trials are likely to be key. Embracing such innovations will allow delivery 
of more efficient trials and speed up the rate at which answers to key clinical questions can be provided for patients living with IBD.","false","Abstract"
"jjaf231.029","OP29","Oral Presentation","Icotrokinra, the first targeted oral peptide that selectively blocks the interleukin-23 receptor, reduces systemic and tissue inflammatory burden in Ulcerative Colitis: Results from the ANTHEM-UC study","12","75","Icotrokinra is the first targeted oral peptide that selectively blocks the IL-23 receptor (IL-23R) and precisely inhibits the IL-23 pathway. 
In ANTHEM-UC—a Phase 2b, randomised, double-blind, placebo (PBO)-controlled, dose-ranging study in adults with moderately to severely active 
ulcerative colitis (UC)—all doses of icotrokinra achieved the primary endpoint of clinical response and delivered clinically meaningful improvements 
across key secondary endpoints at Week (W)12,1 which were maintain","We show for the first time that blocking the IL-23R can inhibit IL-23-mediated inflammatory signaling in UC patients. Icotrokinra 
treatment induced a sustained (W28) reduction in systemic and tissue biomarkers of inflammatory burden in UC. Furthermore, icotrokinra induced 
transcriptional changes that are consistent with dampening of IL-23–driven inflammation and normalization of the tissue transcriptome. While all 
once-daily doses of icotrokinra attenuated systemic and tissue inflammation, gr","true","Abstract"
"jjaf231.030","OP30","Oral Presentation","Obefazimod shows first evidence of anti-fibrotic activity in preclinical models of inflammatory bowel disease","10","78","Obefazimod (Obe) is an oral, first-in-class enhancer of the anti-inflammatory microRNA miR-1241 showing efficacy and safety in 
ulcerative colitis (UC) patients2-4. A major complication of chronic inflammation in inflammatory bowel disease (IBD) is fibrosis, particularly in 
Crohn’s disease (CD). To date, no efficacious anti-fibrotic treatment for IBD patients is available. As miR-124 is reduced in fibrotic tissue and can 
suppress TGF-β, a central driver of fibrogenesis, we assessed whether Obe","These data support an anti-fibrotic effect of Obe in two well-established models, inhibiting collagen deposition and fibroblast activation. 
Initial in vivo mouse data, aligned with the in vitro findings, indicate that Obe may act in a unique way on both intestinal inflammation and fibrosis. 
These promising results provide a strong rationale to further investigate Obe’s anti-fibrotic potential in the ongoing phase 2b Crohn’s disease trial 
(NCT#06456593).","true","Abstract"
"jjaf231.031","OP31","Oral Presentation","Time-Trajectory Analysis Reveals the Evolution of Serum Proteomics During the Preclinical Phase of Crohn’s Disease","11","81","Although multiple biomarkers have been linked to the future risk of Crohn’s disease (CD), the time trajectory of biological events during 
the preclinical phase remains poorly defined. Here, we leverage serum proteomics across three preclinical cohorts to map the molecular trajectory 
preceding CD onset and to develop a proteomic risk score for predicting disease onset.","Proteomic signatures with distinct time-trajectories reveal the molecular evolution of CD during its preclinical phase, with findings 
consistent across first-degree relatives and average-risk population. The PrRS derived from these proteins enables stratification of individuals along 
the pre-disease timeline, providing a framework for risk prediction and early intervention in CD.","true","Abstract"
"jjaf231.032","OP32","Oral Presentation","Preclinical Anti-Integrin αvβ6 Autoantibodies in Ulcerative Colitis: Validation of Predictive Performance, Early Life Emergence and Environmental Modifiers across Multiple Population-Based Cohorts","10","83","IgG autoantibodies against integrin αvβ6 have been associated with preclinical ulcerative colitis (UC),1,2 but data on their emergence 
and validation are still scarce. Therefore, we aimed to establish and validate a cutoff of anti-αvβ6 for predicting future UC across two independent 
preclinical cohorts. Additionally, we examined their development in early-life, assessed the influence of genetic-, environmental risk factors and 
inflammation on anti-αvβ6.","Anti-αvβ6 autoantibodies represent a reproducible biomarker for preclinical UC. Their early-life presence, environmental modulation, 
and correlation with immuno-inflammatory proteins highlight their potential utility for risk stratification.","true","Abstract"
"jjaf231.033","OP33","Oral Presentation","CGNL1 in very early onset IBD","6","86","In a patient with very early onset (VED)-IBD, we identified new pathogenic mutations in CGNL1, which encodes a junctional protein 
with unknown function in GI disease.","Loss-of-function CGNL1 variants contribute to VEO-IBD by disrupting gut barrier integrity and activating epithelial ER stress in patient 
organoids and mouse models. This study expands our understanding of epithelial barrier impairment in VEO-IBD and highlights intestinal epithelium 
as a therapeutic target. Chemical chaperones as novel therapies for IBD caused by primary intestinal barrier defects warrant further investigations.","true","Abstract"
"jjaf231.034","OP34","Oral Presentation","Long-term outcomes after appendectomy for maintenance of remission in ulcerative colitis: Five-year NL-results from the ACCURE randomized controlled trial.","6","89","The randomized controlled ACCURE trial showed that appendectomy significantly reduced clinical relapses within one year in patients 
with ulcerative colitis (UC) in remission without advanced therapies (biologicals and small molecules), compared with standard medical therapy 
alone1. We evaluated the long-term clinical effectiveness of laparoscopic appendectomy.","In this 5-year follow-up study of the ACCURE-trial, appendicectomy was superior to medical therapy alone, with significantly fewer 
patients requiring escalation to advanced medical therapy. These findings underscore the long-term benefit of appendicectomy for maintenance of 
remission in UC, without evidence of an increased risk of neoplasia.","true","Abstract"
"jjaf231.035","OP35","Oral Presentation","Elective colectomy vs continuing medical therapy in Ulcerative Colitis: Evidence of a survival benefit from a nationwide study","5","91","As medical options for ulcerative colitis (UC) continue to expand, colectomy is increasingly deferred in favor of additional trials of 
medical therapy. However, such deferral must be balanced against the risks of ongoing inflammation, including the development of frailty and mal­
nutrition, as well as the potential need for emergency surgery, all of which may increase mortality. Therefore, in this nationwide matched cohort 
study of individuals with UC, we evaluated whether elective colectomy i","In this nationwide cohort, elective colectomy was associated with a significant mortality benefit compared with continuing medical 
therapy, particularly among patients who required systemic corticosteroids in the year prior; a reduced risk was also observed among older adults 
and those with prolonged IBD-related hospitalizations.","true","Abstract"
"jjaf231.036","OP36","Oral Presentation","Longitudinal multi-omic profiling of peripheral blood in acute severe ulcerative colitis reveals a myeloid-driven, steroid-resistant, upadacitinib-sensitive cellular phenotype","11","93","Acute severe ulcerative colitis (ASUC) remains a medical emergency with limited therapeutic progress over the past two decades. Up to 
half of patients fail to respond to intravenous corticosteroids, and about 15% require colectomy during the acute episode. The systemic immune 
response in ASUC has not previously been characterised in detail. We performed longitudinal, multi-omic profiling of peripheral blood in ASUC to 
define immune signatures associated with steroid responsiveness and therape","Longitudinal multi-omic profiling identifies a myeloid-driven inflammatory program in ASUC that is incompletely suppressed by corti­
costeroids, but responsive to JAK1 inhibition. These findings support early or adjunctive use of upadacitinib alongside corticosteroids in ASUC and 
provide a mechanistic rationale for JAK-1 targeted therapy in ASUC.","true","Abstract"
"jjaf231.037","OP37","Oral Presentation","Young Researcher Award: Shrinking the Haystack: Predicting IBD to Enable Prevention","1","96","While current IBD research focuses heavily on therapeutic remission, the interception of disease prior to symptom onset represents the 
next frontier. However, due to the low population prevalence of IBD, precise stratification is fundamentally required to identify at-risk individuals – first 
to run successful prediction trials and, next, to deploy these preventative measures at scale. Despite advances mapping molecular and environmental 
factors, the field struggles to combine these into clini","Future screening strategies must move from a ‘needle in a haystack’ search to a hierarchical filter. By grounding prediction in routine 
multi-disease data before deploying specialised testing, we can efficiently stratify the high-risk tail. Developing these stratification pipelines in parallel 
with current prevention trials is critical to ensuring we can effectively scale interventions once validated.","true","Abstract"
